"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @cheekycondor: 2000 children (including my little brother) in Liverpool just sang hurricane at the Echo Arena and it was amazing I liter…",FALSE,0,NA,2018-01-27 21:31:13,FALSE,NA,"957365401196867584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vxmpsftjz",212,TRUE,FALSE,NA,NA
"2","RT @politico: 5/6 Gov. Ricardo Rosselló has asked for flexibility to spend disaster aid on land surveys and other work needed to transfer p…",FALSE,0,NA,2018-01-27 21:31:12,FALSE,NA,"957365396436324352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SueLeugers",18,TRUE,FALSE,NA,NA
"3","Doctor Foster on Netflix is amazing!",FALSE,0,NA,2018-01-27 21:31:10,FALSE,NA,"957365389188476930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hurricane_KatD",0,FALSE,FALSE,NA,NA
"4","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 21:31:06,FALSE,NA,"957365372998602752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NotLindaVaughan",3662,TRUE,FALSE,NA,NA
"5","RT @RealJack: The same Democrats who were okay with Harvey Weinstein’s donations to Hillary are in a full on meltdown mode over Steve Wynn.…",FALSE,0,NA,2018-01-27 21:31:01,FALSE,NA,"957365352702279682",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TXChiks4Trump",52,TRUE,FALSE,NA,NA
"6","RT @politico: 1/6 Last month, @woellert and @smahaskey traveled to Puerto Rico to reveal a housing crisis generations in the making. Tens o…",FALSE,0,NA,2018-01-27 21:31:01,FALSE,NA,"957365349644754944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TaggertGirl",108,TRUE,FALSE,NA,NA
"7","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 21:31:00,FALSE,NA,"957365346435981313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Siubhan_H",3662,TRUE,FALSE,NA,NA
"8","I liked a @YouTube video https://t.co/8cGIqCKnNS Visiting My House Three Days After it was Flooded by Hurricane Harvey",FALSE,0,NA,2018-01-27 21:30:59,FALSE,NA,"957365344586420224",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Camryn_Brandow",0,FALSE,FALSE,NA,NA
"9","RT @cheekycondor: 2000 children (including my little brother) in Liverpool just sang hurricane at the Echo Arena and it was amazing I liter…",FALSE,0,NA,2018-01-27 21:30:59,FALSE,NA,"957365342644338688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ve_Ri_",212,TRUE,FALSE,NA,NA
"10","RT @cheekycondor: 2000 children (including my little brother) in Liverpool just sang hurricane at the Echo Arena and it was amazing I liter…",FALSE,0,NA,2018-01-27 21:30:58,FALSE,NA,"957365340085899264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JadleyUpdates",212,TRUE,FALSE,NA,NA
